iter	RMSE
153	0.6813834791
154	0.6811224628
155	0.6802816637
156	0.6799275348
157	0.6786428954
158	0.678041106
159	0.6776923919
160	0.6768583453
161	0.6768237986
162	0.6763958442
163	0.6762546992
164	0.6752501065
165	0.6751026649
166	0.6742503109
167	0.6740784599
168	0.6732728647
169	0.6730663351
170	0.6726391028
171	0.6725899502
172	0.6720442431
173	0.6719391974
174	0.6717128119
175	0.6706398897
176	0.6705219712
177	0.6693070054
178	0.6684693937
179	0.6682677369
180	0.6671366973
181	0.6663162476
182	0.6662269718
183	0.6661977429
184	0.666096342
185	0.6658929124
186	0.6658657048
187	0.6654051247
188	0.6648763041
189	0.6642539743
190	0.6635926194
191	0.662425129
192	0.6618001146
193	0.661774415
194	0.661750018
195	0.6609151839
196	0.6605537313
197	0.6602392483
198	0.6598099761
199	0.6597694011
200	0.6596883149
201	0.6595920543
202	0.6591069136
203	0.6585836392
204	0.6585110254
205	0.6576810818
206	0.6573520539
207	0.6572763095
208	0.6572006877
209	0.6570921548
210	0.6570152169
211	0.6560800586
212	0.6555519577
213	0.6554022567
214	0.6543521615
215	0.6543317771
216	0.653553911
217	0.653128891
218	0.6528048189
219	0.6521714734
220	0.652110436
221	0.6515859865
222	0.6515279856
223	0.6514529466
224	0.6512739774
225	0.651174509
226	0.6507329857
227	0.6505833641
228	0.6496871884
229	0.6494968644
230	0.6494421824
231	0.6489870864
232	0.6481339232
233	0.6477096891
234	0.6472014026
235	0.6471458987
236	0.6470992081
237	0.6470292844
238	0.6465532826
239	0.6458123328
240	0.6454749537
241	0.6454311241
242	0.6453880058
243	0.6449382672
244	0.6444277387
245	0.6438091299
246	0.6432081956
247	0.6428862502
248	0.6421112653
249	0.6411856024
250	0.6408998334
251	0.6407771041
252	0.6406916222
253	0.6401735296
254	0.6398976627
255	0.6397808351
256	0.6395259149
257	0.6391959899
258	0.6391331764
259	0.639076792
260	0.6390321763
261	0.6386753175
262	0.637648478
263	0.6376038923
264	0.6375776508
265	0.6368775071
266	0.6364655312
267	0.6356377428
268	0.635023549
269	0.6349641048
270	0.6345592933
271	0.6340570654
272	0.6340016968
273	0.6338132701
274	0.6337662182
275	0.6335549288
276	0.6329252204
277	0.6325981458
278	0.6322951091
279	0.6322101503
280	0.6321621039
281	0.6321294979
282	0.6317389874
283	0.6316686497
284	0.6316261597
285	0.6314097189
286	0.6311242244
287	0.6307642728
288	0.6305610513
289	0.6299796895
290	0.6299194272
291	0.6292374447
292	0.6286678551
293	0.6282681458
294	0.6282115521
295	0.6277685997
296	0.6277407538
297	0.6276502722
298	0.6271287168
299	0.6270930326
300	0.6266344648
301	0.6262638472
302	0.6262425293
303	0.6253916156
304	0.6250892535
305	0.6249193334
306	0.6246333981
307	0.6246139672
308	0.6241106689
309	0.6237299246
310	0.6231291716
311	0.6227203819
312	0.6226291258
313	0.6223938439
314	0.6217286969
315	0.6215758213
316	0.6211350035
317	0.6205089434
318	0.6204685481
319	0.6202061002
320	0.6198070418
321	0.6195650106
322	0.6189141074
323	0.6185664781
324	0.61813156
325	0.6177927412
326	0.6172747302
327	0.6172356836
328	0.6167238111
329	0.6167027525
330	0.6162661445
331	0.6162205265
332	0.6161855833
333	0.6158358974
334	0.6155048055
335	0.615338051
336	0.6149891449
337	0.6148168315
338	0.6147118347
339	0.6144017216
340	0.6135588769
341	0.613392435
342	0.6133717173
343	0.6133491262
344	0.6133055016
345	0.6127483748
346	0.6124396873
347	0.612066064
348	0.6120404685
349	0.6117276122
350	0.6113431481
351	0.6109493026
352	0.6109344131
353	0.610915371
354	0.6104259277
355	0.6103908129
356	0.609889504
357	0.6095541197
358	0.6095146509
359	0.6091218556
360	0.6088542818
361	0.6082817386
362	0.6078542328
363	0.6075302315
364	0.6066928389
365	0.6066252132
366	0.6059512305
367	0.6059353476
368	0.6059228753
369	0.6053645054
370	0.6051799713
371	0.6051636461
372	0.6051238738
373	0.605109956
374	0.6048499686
375	0.6046866781
376	0.6043502609
377	0.6039027964
378	0.6038110983
379	0.6036135131
380	0.6031965209
381	0.6031778136
382	0.6028720602
383	0.6027313648
384	0.6024643562
385	0.6023311232
386	0.6021293757
387	0.6017553203
388	0.6016228463
389	0.6014532062
390	0.6013434304
391	0.6011529741
392	0.6008022896
393	0.6007583781
394	0.6005654417
395	0.6005378089
396	0.6003933299
397	0.5998942308
398	0.5997147282
399	0.5997027517
400	0.5993706127
401	0.5991238161
402	0.599114678
403	0.5989032795
404	0.5985951864
405	0.5980256529
406	0.5978631044
407	0.5976193807
408	0.5972631353
409	0.5970572305
410	0.5970196793
411	0.5962564581
412	0.5960489773
413	0.5958382502
414	0.5955936615
415	0.5954404939
416	0.5954054747
417	0.59507295
418	0.5950380067
419	0.5947103996
420	0.5939007286
421	0.5932562442
422	0.5931795876
423	0.5929071342
424	0.5927164433
425	0.5925418166
426	0.5919279967
427	0.5919159577
428	0.591903675
429	0.5915762324
430	0.5914724069
431	0.5911853954
432	0.5911778948
433	0.5908686724
434	0.5906959169
435	0.5900330974
436	0.5894131595
437	0.5890293915
438	0.5885581105
439	0.5881415886
440	0.5877786805
441	0.5875561528
442	0.5872141336
443	0.5869772335
444	0.5869675427
445	0.5865490452
446	0.5863254753
447	0.5862850475
448	0.5859741424
449	0.5857951986
450	0.5855993698
451	0.585476119
452	0.5852449284
453	0.5849627451
454	0.5845718053
455	0.5845615519
456	0.5843668842
457	0.5841899852
458	0.5839131585
459	0.5836670806
460	0.5832155541
461	0.5826896822
462	0.582509432
463	0.5823145476
464	0.5822766057
465	0.5818147117
466	0.5818072288
467	0.5816679054
468	0.581364629
469	0.5809481423
470	0.5804571127
471	0.5804050825
472	0.5799160461
473	0.579888255
474	0.5797315898
475	0.5796725462
476	0.5794491792
477	0.5791892531
478	0.5791782956
479	0.5791099919
480	0.579071908
481	0.5790280924
482	0.5788512076
483	0.5787691706
484	0.5787593098
485	0.5786146905
486	0.5782541774
487	0.5779013467
488	0.5776735356
489	0.5773584562
490	0.5771621571
491	0.576924485
492	0.5767987946
493	0.576778983
494	0.5764326369
495	0.5757475009
496	0.5753213202
497	0.5749926929
498	0.574563536
499	0.5740375249
500	0.5733789932
501	0.5731031555
502	0.5728781233
503	0.5728537662
504	0.572708135
505	0.5721960454
506	0.5721687162
507	0.5717227914
508	0.5713834794
509	0.5711633611
510	0.5710114003
511	0.5709828298
512	0.5709719198
513	0.5706615761
514	0.570529228
515	0.5704517655
516	0.5699774823
517	0.5697528559
518	0.5697128646
519	0.5693953072
520	0.5690917122
521	0.5690547459
522	0.5689299878
523	0.5685003866
524	0.568378081
525	0.5678541848
526	0.5674052305
527	0.5669329358
528	0.5665215144
529	0.5665166674
530	0.5664885131
531	0.5664477041
532	0.5664280567
533	0.5664186676
534	0.5663916678
535	0.5660274937
536	0.5658210649
537	0.5655014215
538	0.5654835916
539	0.5654799439
540	0.5650357792
541	0.5649912093
542	0.5647952848
543	0.5646422437
544	0.5646188288
545	0.5644467151
546	0.5643374021
547	0.5642159246
548	0.5637818738
549	0.5637261491
550	0.5633928078
551	0.5630456973
552	0.562867985
553	0.5625913184
554	0.5622158788
555	0.5616411657
556	0.5614441921
557	0.5614389752
558	0.5612149084
559	0.5609064591
560	0.5607207035
561	0.5606805419
562	0.5605857656
563	0.5604749163
564	0.5598121215
565	0.5595280529
566	0.5590165377
567	0.5588694519
568	0.5586508318
569	0.5581873526
570	0.5578903021
571	0.5578148727
572	0.5576294297
573	0.5574344594
574	0.5568601912
575	0.556454778
576	0.5559341991
577	0.5557451856
578	0.5552217975
579	0.555000676
580	0.5547017686
581	0.5545139308
582	0.5542188075
583	0.5540807778
584	0.5535419741
585	0.5532771226
586	0.5529611596
587	0.5525067777
588	0.5522734952
589	0.5519053108
590	0.5515753704
591	0.551394854
592	0.551086255
593	0.5508375748
594	0.5504703191
595	0.5501970095
596	0.5501671882
597	0.5500524722
598	0.5497618528
599	0.5492908796
600	0.5489466962
601	0.5487683389
602	0.5485446624
603	0.5484514083
604	0.5482792478
605	0.5481307972
606	0.5480119929
607	0.5478106452
608	0.5476252618
609	0.5474376266
610	0.5472701734
611	0.5471647889
612	0.5469259798
613	0.546910568
614	0.546878875
615	0.5467612527
616	0.5464759763
617	0.5462731391
618	0.5459030792
619	0.545579773
620	0.5453058553
621	0.5447418508
622	0.5443338819
623	0.5440267551
624	0.543860613
625	0.5436007831
626	0.5435800623
627	0.543164924
628	0.5429675016
629	0.5429613049
630	0.5429542829
631	0.5428833868
632	0.5426438124
633	0.5425353727
634	0.5422835648
635	0.5419367534
636	0.5418705395
637	0.5415918096
638	0.5411410111
639	0.5409495536
640	0.5408737199
641	0.5408054074
642	0.5405718011
643	0.5402203766
644	0.5400307791
645	0.5398932394
646	0.5397005775
647	0.5395974151
648	0.5391731692
649	0.5388509316
650	0.5386213159
651	0.5380166521
652	0.5378706009
653	0.5376570834
654	0.5372669736
655	0.5371596562
656	0.5371533669
657	0.5366937904
658	0.5364762127
659	0.5363575676
660	0.5361603756
661	0.5359882755
662	0.5359725057
663	0.5356797991
664	0.5353742988
665	0.5353369333
666	0.5348724393
667	0.534747654
668	0.5346913005
669	0.5342758491
670	0.5341561758
671	0.5339753888
672	0.5337951623
673	0.5337808478
674	0.5335118477
675	0.5334840531
676	0.5334125165
677	0.5332290493
678	0.5328551736
679	0.5327229927
680	0.5323994391
681	0.5319828581
682	0.5319012115
683	0.5318705278
684	0.5318047571
685	0.5315993696
686	0.5315556883
687	0.5315496905
688	0.5315036919
689	0.5314374901
690	0.5313240862
691	0.5312634905
692	0.5311278939
693	0.5310006945
694	0.5308868431
695	0.5307389966
696	0.5306664789
697	0.5303998539
698	0.5301919311
699	0.5301791049
700	0.5299859261
701	0.5299082423
702	0.529842755
703	0.5297156553
704	0.5296701117
705	0.5295527711
706	0.5291455851
707	0.5288834555
708	0.528553905
709	0.5284413278
710	0.5280715026
711	0.527979954
712	0.5278759506
713	0.5278206972
714	0.5275157455
715	0.5274556376
716	0.5273596962
717	0.5270715768
718	0.5270663652
719	0.5265872093
720	0.5263158421
721	0.5261188881
722	0.5260736779
723	0.5259231743
724	0.5259058881
725	0.5257652087
726	0.5257502689
727	0.5256537273
728	0.5256494231
729	0.5255734105
730	0.5253899527
731	0.5252027001
732	0.5249454302
733	0.5248059235
734	0.5245571399
735	0.5243630258
736	0.5242984583
737	0.5241418758
738	0.5240290538
739	0.5239272766
740	0.5237412915
741	0.5236707685
742	0.5233429714
743	0.5232316546
744	0.5229080163
745	0.5225545573
746	0.5225408609
747	0.5222050881
748	0.522120336
749	0.5219098241
750	0.5217454113
751	0.5216408731
752	0.5216355937
753	0.5216207422
754	0.5214617274
755	0.5211834386
756	0.520874267
757	0.5206605682
758	0.520362266
759	0.5202836709
760	0.5200192764
761	0.5197997174
762	0.519674914
763	0.519671668
764	0.5195074176
765	0.5191881275
766	0.519180264
767	0.518830546
768	0.5187758301
769	0.5185787435
770	0.5185503897
771	0.5183755866
772	0.5183497273
773	0.5183460903
774	0.5181259072
775	0.517925279
776	0.5177629152
777	0.5177344753
778	0.5175188856
779	0.517504922
780	0.5172484641
781	0.5168594552
782	0.5167847925
783	0.5166649506
784	0.51666074
785	0.5164543235
786	0.5164484717
787	0.5163109223
788	0.5161646397
789	0.5157048134
790	0.5157012669
791	0.5155032181
792	0.5154304522
793	0.5152580444
794	0.514925412
795	0.5148466815
796	0.5147629342
797	0.5146150263
798	0.5145890864
799	0.5145416774
800	0.5142178092
801	0.514021244
802	0.5137972652
803	0.5135815263
804	0.5132103368
805	0.5128174575
806	0.5126608439
807	0.5126414453
808	0.5125140432
809	0.512447428
810	0.51232032
811	0.5122852866
812	0.5122718129
813	0.5122686044
814	0.5122078171
815	0.51199625
816	0.5119925529
817	0.5119574655
818	0.5117744062
819	0.5117029408
820	0.5116538567
821	0.5116426482
822	0.511572043
823	0.5114945793
824	0.5112904399
825	0.5112799522
826	0.5112150409
827	0.5109403957
828	0.5108597786
829	0.5107936707
830	0.5106832849
831	0.5103890957
832	0.5101280225
833	0.5100261768
834	0.5098079086
835	0.5095167019
836	0.5094194285
837	0.509301093
838	0.5092469017
839	0.5089918921
840	0.5087298528
841	0.5086843564
842	0.5084797563
843	0.5082330548
844	0.5079510379
845	0.5077082689
846	0.5075062775
847	0.5074218409
848	0.5071635829
849	0.507161636
850	0.5069440007
851	0.5069272518
852	0.5069247767
853	0.5067689562
854	0.5066902448
855	0.5065534532
856	0.5063219393
857	0.5062942069
858	0.5062187716
859	0.5059363368
860	0.5058988666
861	0.5056503314
862	0.5055790456
863	0.505411361
864	0.5052027676
865	0.5051136123
866	0.5048796251
867	0.5045453277
868	0.5045089519
869	0.5043406997
870	0.5039853624
871	0.5039387698
872	0.5036849137
873	0.5036182661
874	0.5036039307
875	0.5035119688
876	0.5033990134
877	0.5029433481
878	0.5029401225
879	0.5028755135
880	0.5028449803
881	0.502794029
882	0.5026006454
883	0.5024373084
884	0.5023611472
885	0.5021021072
886	0.5018915244
887	0.5017244552
888	0.5016201301
889	0.5014241936
890	0.5010132564
891	0.5007488333
892	0.500422946
893	0.5002386611
894	0.4999987797
895	0.4998725651
896	0.4996422672
897	0.4995393002
898	0.4994785169
899	0.4993374355
900	0.4993192746
901	0.4990342219
902	0.4990313977
903	0.4986682247
904	0.4983958483
905	0.4981295229
906	0.4980053813
907	0.4977435093
908	0.4976329964
909	0.4974310196
910	0.4974044046
911	0.4971059643
912	0.4969711401
913	0.4967017327
914	0.4966832097
915	0.4966728007
916	0.4965074005
917	0.4965021728
918	0.4962399486
919	0.4959170861
920	0.4955687778
921	0.4954360655
922	0.495262923
923	0.495253032
924	0.4951484307
925	0.4947982346
926	0.4946051983
927	0.4944944416
928	0.4942087442
929	0.4941558646
930	0.494093127
931	0.4938405477
932	0.4936712409
933	0.4935022728
934	0.4934872628
935	0.4932694074
936	0.4932440034
937	0.492952528
938	0.4926281431
939	0.4925545874
940	0.4922727551
941	0.4920601437
942	0.4918649035
943	0.4916504469
944	0.491503822
945	0.4912563763
946	0.4909836516
947	0.4909602822
948	0.4907123721
949	0.4902955921
950	0.4900717521
951	0.4898484281
952	0.4898325145
953	0.4894770008
954	0.489214364
955	0.4890871691
956	0.4889528115
957	0.4888367452
958	0.488657572
959	0.4884379968
960	0.4883834276
961	0.4882374389
962	0.4882172533
963	0.4879327483
964	0.4879234105
965	0.4878566328
966	0.487641018
967	0.4875994951
968	0.4875905022
969	0.4874099456
970	0.4871568616
971	0.4868592315
972	0.4867258319
973	0.4866763757
974	0.4866181342
975	0.4865793555
976	0.4864182159
977	0.4863238373
978	0.4859984185
979	0.4859956943
980	0.4856824065
981	0.4854478512
982	0.4854372852
983	0.485330898
984	0.4850667924
985	0.4848080219
986	0.4846640029
987	0.4843650786
988	0.4843579013
989	0.4840468192
990	0.4840204127
991	0.4837026786
992	0.4836788187
993	0.4835631019
994	0.4835576674
995	0.4835464136
996	0.4834992779
997	0.4832859064
998	0.482973917
999	0.4829235392
