,auroc,auprc
M2_PurePrior,0.85,0.9261527504568074
M1_SemiPrior,0.85,0.9261527504568074
M3_L2LR,0.775609756097561,0.8789433238855033
M4_RF,0.8378048780487806,0.9104082954790704
