feature,mean_abs_shap,mean_shap
F4,0.5996425323147734,1.7219785688063652e-16
F2,0.470047043052679,3.9650822308041306e-17
C3,0.450450608645009,3.511929975855087e-17
F1,0.20504173629200628,1.416100796715761e-17
C2,0.19904938731351782,1.699320956058913e-17
F3,0.11066248076134895,-1.7276429719932284e-17
C1,0.026378970462077454,8.214490949698848e-19
