model,auroc,auprc,f1_opt,threshold_opt
M2_PurePrior,0.771951219512195,0.8319173275342113,0.8695652173908103,0.0026959098219617628
M1_SemiPrior,0.7195121951219512,0.808505156794981,0.8444444444439484,0.46756046544939917
M3_L2LR,0.7109756097560975,0.8204488582709859,0.83516483516434,0.29574570623023566
M4_RF,0.7810975609756098,0.8891755090724303,0.8395061728390062,0.6
