,M2_PurePrior,M1_SemiPrior,M3_L2LR,M4_RF
M2_PurePrior,1.0,1.0,0.22454435656953595,0.7297691588509918
M1_SemiPrior,1.0,1.0,0.22454435656953595,0.7297691588509918
M3_L2LR,0.22454435656953595,0.22454435656953595,1.0,0.0
M4_RF,0.7297691588509918,0.7297691588509918,0.0,1.0
