model,auroc,auprc,f1_opt,threshold_opt
M2_PurePrior,0.85,0.9261527504568074,0.8636363636363636,0.5878077733660384
M1_SemiPrior,0.85,0.9261527504568074,0.8636363636363636,0.5878077733660384
M3_L2LR,0.7987804878048781,0.8936287103178284,0.8636363636363636,0.31534567818060333
M4_RF,0.8378048780487806,0.9104082954790704,0.8631578947368421,0.29239386381108895
