Model,MSE,MAE,R2
TabPFN,0.5935482280429936,0.4558654786641237,0.8802695941419763
XGBoost,0.7485640500414801,0.5220563426606788,0.8489998397978531
LightGBM,0.6295356161115371,0.4873364880854627,0.8730102268729953
CatBoost,0.6460242823760695,0.4945506905570558,0.869684137078373
LinearRegression,0.6095170986810222,0.4815785911647226,0.8770483573961613
RandomForest,0.6476087083690708,0.4999057829759585,0.8693645270479976
