Model,MSE,MAE,R2
LightGBM,0.6295356161115371,0.4873364880854627,0.8730102268729953
LinearRegression,0.6095170986810223,0.48157859116472285,0.8770483573961613
RandomForest,0.6476087083690708,0.4999057829759585,0.8693645270479976
