sample_id,game,label,F1,F2,F3,F4,F3_zscore,F4_zscore,is_unanalyzable,triggered_rules,C1,C2,C3
l15,maze,1,0.020968,0.112903,0.003086,0.089062,-0.17950453631814176,0.4228105490968167,True,Rule1,0.601562,0.0,0.176956
l16,maze,1,0.008947,0.072581,0.001176,0.087145,-0.18577444383141903,0.4024543436337433,True,Rule1,0.593333,0.0,0.19365
l17,maze,1,0.017283,0.137097,0.001095,0.058015,-0.18604034043276743,0.09312921836544445,True,Rule1,0.824647,0.0,0.151524
l18,maze,1,0.071054,0.653226,0.010795,0.009963,-0.15419840175277294,-0.41712450354984193,False,,0.525721,0.0,0.074588
l19,maze,1,0.065107,0.645161,6.3e-05,0.000981,-0.1894280600943916,-0.5125024052031155,False,,0.368928,0.0,0.050078
l20,maze,1,0.076254,0.508065,0.007831,0.124403,-0.16392824775767023,0.798088930562898,False,,0.451715,0.0,0.272849
l21,maze,1,0.069871,0.483871,0.006856,0.094374,-0.16712885499612326,0.47921752010351776,False,,0.451041,0.0,0.060276
l22,maze,1,0.055264,0.362903,0.03014,0.091645,-0.09069507146777357,0.45023886350011283,False,,0.484875,0.0,0.065296
l23,maze,0,0.093555,0.951613,7.2e-05,0.001494,-0.1893985160275751,-0.5070549699383494,False,,0.454954,0.005251,0.167982
l24,maze,1,0.128452,0.959677,0.00051,0.006923,-0.18796070477583926,-0.4494056014151227,False,,0.409923,0.189836,0.383531
l25,maze,1,0.104931,0.903226,0.00113,0.018502,-0.1859254468395922,-0.3264507224078576,False,,0.361449,0.03902,0.292683
l26,maze,1,0.095744,0.862903,0.020522,0.030225,-0.12226783087232895,-0.20196673876486873,False,,0.555434,0.0271,0.31991
l27,maze,0,0.084925,0.846774,0.002931,0.023475,-0.18001335080220351,-0.27364351856442304,False,,0.460003,0.0,0.217792
l28,maze,1,0.087073,0.862903,0.000622,0.008891,-0.18759304527767853,-0.42850783806023046,False,,0.370099,0.0,0.217646
l29,maze,1,0.02826,0.201613,1.780916,0.530142,5.656531942388522,5.106542998576433,True,Rule1|Rule2|Rule3,0.496128,0.013984,0.428249
l30,maze,0,0.088698,0.935484,0.0,0.0,-0.18963486856210704,-0.522919430533984,False,,0.399798,0.0,0.236248
l31,maze,0,0.077083,0.540323,0.004871,0.097543,-0.17364496306620464,0.5128684408716345,False,,0.481039,0.0,0.109573
l32,maze,0,0.090423,0.919355,0.0,0.0,-0.18963486856210704,-0.522919430533984,False,,0.429124,0.0,0.324009
l33,maze,1,0.084538,0.854839,7.3e-05,0.002262,-0.1893952333534844,-0.498899745214489,False,,0.413522,0.0,0.124384
l34,maze,0,0.089063,0.951613,0.000166,0.003915,-0.18908994466304732,-0.48134689825024257,False,,0.43861,0.0,0.095792
